country,unit,variable,2014,2015,2016,2017,2018,2019,2020
SUR,MtCO2eq,Total GHG emissions (excluding LULUCF),3.1793482470759997,3.2337500990779997,3.0791416504699995,3.0791459608419998,3.0037451279469995,3.0030023660009997,1.642141873008
SVK,MtCO2eq,Total GHG emissions (excluding LULUCF),44.190729953929996,45.116801002909995,45.92702898741999,48.083038157839994,48.05387325761,44.91449293265,31.87058512817
SVN,MtCO2eq,Total GHG emissions (excluding LULUCF),19.982388359293996,20.195023070156,21.052146123417,21.013695788019,20.910651692972,20.315410207322,13.7820578976328
SWE,MtCO2eq,Total GHG emissions (excluding LULUCF),66.38760829297999,66.38731680292,67.43969759161,66.94828019308001,64.963515243652,66.665281022277,42.29667786498
SWZ,MtCO2eq,Total GHG emissions (excluding LULUCF),3.1566731029532,3.2126265426011997,3.3360342015267,3.3287016605039,3.4432756052572,3.3282061221014994,1.4628252054242097
SYC,MtCO2eq,Total GHG emissions (excluding LULUCF),1.026691851488865,1.0832292698107269,1.2123476416879428,1.196215411362097,1.2550022036451152,1.290992071768529,1.17754029333
SYR,MtCO2eq,Total GHG emissions (excluding LULUCF),47.106808714859994,45.45798273543,44.78094450284999,46.61139050339,43.71105479353,44.415992481848,25.569903623
TCD,MtCO2eq,Total GHG emissions (excluding LULUCF),55.8330702293394,60.850509702064805,64.1792805040967,67.8781115703118,70.453550060023,75.44909034805649,0.8206565711999999
TGO,MtCO2eq,Total GHG emissions (excluding LULUCF),8.516199316349999,8.773038921269999,9.05438325141,9.33736456047,10.00772569053,10.226765662390001,2.8370499811
THA,MtCO2eq,Total GHG emissions (excluding LULUCF),446.06655055589994,443.6057529918,435.32069613780004,445.83306297679997,446.34929025339994,443.02399633639993,255.46420350399998
